ENSEMBL,HGNC,log2FoldChange,pvalue
ENSG00000000003,TSPAN6,-0.21192917,0.058495694
ENSG00000000005,TNMD,-0.273224821,0.335200273
ENSG00000000419,DPM1,0.007680334,0.942584167
ENSG00000000457,SCYL3,-0.020278369,0.816837088
ENSG00000000460,FIRRM,0.094720305,0.277837574
ENSG00000000938,FGR,-0.541917279,0.285085339
ENSG00000000971,CFH,-0.019354364,0.973428071
ENSG00000001036,FUCA2,-0.273902708,0.062595411
ENSG00000001084,GCLC,-0.132973288,0.262619515
ENSG00000001167,NFYA,0.168408446,0.099867722
ENSG00000001460,STPG1,-0.490021942,0.007104147
ENSG00000001461,NIPAL3,-0.248813198,0.060578038
ENSG00000001497,LAS1L,-0.131299343,0.012612796
ENSG00000001561,ENPP4,0.030800712,0.851671068
ENSG00000001617,SEMA3F,0.441883757,0.087484957
ENSG00000001626,CFTR,0.540597409,0.23639988
ENSG00000001629,ANKIB1,-0.019062891,0.761643687
ENSG00000001630,CYP51A1,-0.114541448,0.512420077
ENSG00000001631,KRIT1,-0.00605625,0.917405381
ENSG00000002016,RAD52,-0.022345625,0.888176759
ENSG00000002079,MYH16,9.64E-05,0.99948971
ENSG00000002330,BAD,-0.080256241,0.453483621
ENSG00000002549,LAP3,0.192584301,0.374187975
ENSG00000002586,CD99,-0.14315832,0.424094957
ENSG00000002587,HS3ST1,-0.034080756,0.932889738
ENSG00000002726,AOC1,0.135332432,0.727330681
ENSG00000002745,WNT16,0.113926578,0.773004062
ENSG00000002746,HECW1,0.248787933,0.41750019
ENSG00000002822,MAD1L1,0.040391758,0.577525552
ENSG00000002834,LASP1,-0.035737215,0.710930299
ENSG00000002919,SNX11,-0.115392647,0.189869703
ENSG00000002933,TMEM176A,0.091177304,0.858646286
ENSG00000003056,M6PR,-0.201638972,0.160710677
ENSG00000003096,KLHL13,0.041287574,0.833181339
ENSG00000003137,CYP26B1,-0.592304615,0.122429359
ENSG00000003147,ICA1,0.193736139,0.44701579
ENSG00000003249,DBNDD1,-0.181487319,0.106510791
ENSG00000003393,ALS2,0.017020875,0.843253679
ENSG00000003400,CASP10,-0.735389315,0.020991536
ENSG00000003402,CFLAR,-0.640505575,0.02198215
ENSG00000003436,TFPI,-0.505136101,0.052241781
ENSG00000003509,NDUFAF7,0.012006634,0.879394428
ENSG00000003756,RBM5,-0.107909993,0.214196937
ENSG00000003987,MTMR7,0.232795429,0.226168488
